row_id,pokemon_id,pokemon_en,pokemon_ja,wiki_page_name,wiki_page_url,role,range,damage_type,skill_slot,move_stage,move_en,move_ja,parent_move_en,parent_move_ja,source_object,ratio_component,effect_label,ratio_percent,stat_type,level_scaling,base_value,formula_en,formula_ja,exception,alert,true_description,notes,rsb_info,move_type,cooldown,upgrade_level_1,upgrade_level_2,unite_energy,unite_buffs,unite_buff_duration
49,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,base,Damage - First Hit,69.,Atk,6.,140.,69% Atk + 6 * (Level - 1) + 140,攻撃 x 69% + 6 x (レベル - 1) + 140,,,"The user dashes in a leftward arc forward, damaging non-allied Pokémon in its path and increasing the user's basic attack speed by 60% for 0.5s when this dash hits. If this dash hits, the move can be used again within 6s. This second use has the user dash straight ahead, repeating the effects of the first dash when it hits. The critical-hit rate of this move is increased by 0.8% for every 1% missing HP of opposing Pokémon hit, up to 30% increased critical-hit rate at 38% missing HP or more.","The first use is a rightward arc forward from the perspective of the orange team (right-side team, which has the map flipped horizontally when in battle).",,Dash,5.5,5,11,,,
50,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,add1,Damage - Second Hit,103.5,Atk,9.,210.,103.5% Atk + 9 * (Level - 1) + 210,攻撃 x 103.5% + 9 x (レベル - 1) + 210,,,,,,Dash,5.5,5,11,,,
51,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,add2,,,,,,,,,,,,,Dash,5.5,5,11,,,
52,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,add3,,,,,,,,,,,,,Dash,5.5,5,11,,,
53,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,add4,,,,,,,,,,,,,Dash,5.5,5,11,,,
54,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,add5,,,,,,,,,,,,,Dash,5.5,5,11,,,
55,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,enhanced,,,,,,,,,,Restores the user's HP for 50% of damage dealt with the second dash hit.,,,Dash,5.5,5,11,,,
56,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,enhanced_add1,,,,,,,,,,,,,Dash,5.5,5,11,,,
57,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,enhanced_add2,,,,,,,,,,,,,Dash,5.5,5,11,,,
58,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,enhanced_add3,,,,,,,,,,,,,Dash,5.5,5,11,,,
59,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,enhanced_add4,,,,,,,,,,,,,Dash,5.5,5,11,,,
60,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Night Slash,つじぎり,Feint,フェイント,rsb,enhanced_add5,,,,,,,,,,,,,Dash,5.5,5,11,,,
61,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,base,Damage,143.,Atk,14.,173.,143% Atk + 14 * (Level - 1) + 173,攻撃 x 143% + 14 x (レベル - 1) + 173,,,"The user dashes forward, empowering the next auto attack for 3s. With this empowered attack, the user leaps to a non-allied Pokémon and attacks. This damage is increased against targets hit in the back. If this empowered attack hits any target in the back, this move's cooldown is reduced by 70%.","When the user has an empowered attack readied, nearby non-allied Pokémon have their backs highlighted.",,Dash,5.5,5,11,,,
62,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,add1,Damage - Backstab,214.,Atk,21.,259.,214% Atk + 21 * (Level - 1) + 259,攻撃 x 214% + 21 x (レベル - 1) + 259,,,,,,Dash,5.5,5,11,,,
63,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,add2,,,,,,,,,,,,,Dash,5.5,5,11,,,
64,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,add3,,,,,,,,,,,,,Dash,5.5,5,11,,,
65,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,add4,,,,,,,,,,,,,Dash,5.5,5,11,,,
66,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,add5,,,,,,,,,,,,,Dash,5.5,5,11,,,
67,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,enhanced,,,,,,,,,,Increases the user's movement speed by 35% for 2s after using this move and before using the empowered attack.,,,Dash,5.5,5,11,,,
68,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,enhanced_add1,,,,,,,,,,,,,Dash,5.5,5,11,,,
69,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,enhanced_add2,,,,,,,,,,,,,Dash,5.5,5,11,,,
70,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,enhanced_add3,,,,,,,,,,,,,Dash,5.5,5,11,,,
71,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,enhanced_add4,,,,,,,,,,,,,Dash,5.5,5,11,,,
72,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 1,upgrade,Pursuit,おいうち,Feint,フェイント,rsb,enhanced_add5,,,,,,,,,,,,,Dash,5.5,5,11,,,
73,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,base,Damage,89.,Atk,6.,200.,89% Atk + 6 * (Level - 1) + 200,攻撃 x 89% + 6 x (レベル - 1) + 200,,,"The user slashes in the designated direction, damaging opposing Pokémon hit.",This move's critical-hit rate is increased by 15%.,,Melee,6,,,,,
74,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,add1,,,,,,,,,,,,,Melee,6,,,,,
75,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,add2,,,,,,,,,,,,,Melee,6,,,,,
76,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,add3,,,,,,,,,,,,,Melee,6,,,,,
77,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,add4,,,,,,,,,,,,,Melee,6,,,,,
78,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,add5,,,,,,,,,,,,,Melee,6,,,,,
79,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,enhanced,,,,,,,,,,,,,Melee,6,,,,,
80,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,enhanced_add1,,,,,,,,,,,,,Melee,6,,,,,
81,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,enhanced_add2,,,,,,,,,,,,,Melee,6,,,,,
82,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,enhanced_add3,,,,,,,,,,,,,Melee,6,,,,,
83,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,enhanced_add4,,,,,,,,,,,,,Melee,6,,,,,
84,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,base,Slash,きりさく,,,rsb,enhanced_add5,,,,,,,,,,,,,Melee,6,,,,,
85,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,upgrade,Psycho Cut,サイコカッター,Slash,きりさく,rsb,base,Damage - Initial Hit,50.,Atk,1.,65.,50% Atk + 1 * (Level - 1) + 65,攻撃 x 50% + 1 x (レベル - 1) + 65,,,"The user throws a psychic slash in the designated direction, damaging opposing Pokémon hit and decreasing their movement speed by 90% for 2s (decaying by 25% every 0.5s). 3 marks are applied to opposing Pokémon hit by the psychic slash for 5s. When the user deals damage to a marked target, 1 mark is consumed, dealing additional damage. The third mark deals increased damage when consumed.",The critical-hit rate of the psychic slash and consumed marks is increased by 15%. The marks can be cleansed.,,Ranged,7,7,13,,,
86,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,upgrade,Psycho Cut,サイコカッター,Slash,きりさく,rsb,add1,Damage - First 2 markers,72.,Atk,5.,48.,72% Atk + 5 * (Level - 1) + 48,攻撃 x 72% + 5 x (レベル - 1) + 48,,,,,,Ranged,7,7,13,,,
87,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,upgrade,Psycho Cut,サイコカッター,Slash,きりさく,rsb,add2,Damage - Last Marker,108.,Atk,7.,72.,108% Atk + 7 * (Level - 1) + 72,攻撃 x 108% + 7 x (レベル - 1) + 72,,,,,,Ranged,7,7,13,,,
88,1,Absol,アブソル,アブソル,https://wikiwiki.jp/poke-unite/%E3%82%A2%E3%83%96%E3%82%BD%E3%83%AB,Speedster,Melee,Physical,Move 2,upgrade,Psycho Cut,サイコカッター,Slash,きりさく,rsb,add3,,,,,,,,,,,,,Ranged,7,7,13,,,
